url,learningResourceType,discipline,license,intendedEndUserRole,typicalAgeRangeFrom,typicalAgeRangeTo,language,keyword,,,,,,,,,,,,,,,,,
https://www.zdf.de/rss/podcast/video/zdf/politik/auslandsjournal,video,340,COPYRIGHT_FREE,learner; teacher,10,18,de,,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/nachrichten/heute-19-uhr,video,480,COPYRIGHT_FREE,learner; teacher,10,18,de,Nachrichten,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/nachrichten/heute-journal,video,480,COPYRIGHT_FREE,learner; teacher,10,18,de,Nachrichten,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/nachrichten/heute-plus,video,480,COPYRIGHT_FREE,learner; teacher,10,18,de,Nachrichten,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/wissen/frag-den-lesch,video,720,COPYRIGHT_FREE,learner; teacher,10,18,de,Lesch,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/wissen/leschs-kosmos,video,720,COPYRIGHT_FREE,learner; teacher,10,18,de,Lesch,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/wissen/lesch-to-go,video,720,COPYRIGHT_FREE,learner; teacher,10,18,de,Lesch,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/kinder/logo,video,720,COPYRIGHT_FREE,learner; teacher,6,18,de,Nachrichten,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/dokumentation/zdfzoom,video,720,COPYRIGHT_FREE,learner; teacher,10,18,de,,,,,,,,,,,,,,,,,,de
https://www.zdf.de/rss/podcast/video/zdf/dokumentation/terra-x,video,720,COPYRIGHT_FREE,learner; teacher,10,18,de,,,,,,,,,,,,,,,,,,de